iso 123750 PL Warszawa 52.2500000 N 21.0000000 E  106 1 365 4
   N  M  D  H   DBT   RH     HR   WS WD   ITH   IDH   ISH   TSKY   N__0  N__30  NE_30  E__30  SE_30  S__30  SW_30  W__30  NW_30  N__45  NE_45  E__45  SE_45  S__45  SW_45  W__45  NW_45  N__60  NE_60  E__60  SE_60  S__60  SW_60  W__60  NW_60  N__90  NE_90  E__90  SE_90  S__90  SW_90  W__90  NW_90
   1  1  1  0   0.6   91  3.583  5.0 27   0.0   0.0   0.0  -5.77    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   2  1  1  1   0.6   90  3.542  5.0 27   0.0   0.0   0.0  -5.77    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   3  1  1  2   0.6   89  3.502  5.0 28   0.0   0.0   0.0  -8.02    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   4  1  1  3   0.6   89  3.501  6.0 28   0.0   0.0   0.0  -8.02    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   5  1  1  4   0.7   86  3.406  6.0 28   0.0   0.0   0.0  -7.90    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   6  1  1  5   0.7   83  3.286  6.0 29   0.0   0.0   0.0  -7.90    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   7  1  1  6   0.8   81  3.229  6.0 29   0.0   0.0   0.0  -7.78    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   8  1  1  7   0.8   81  3.227  5.0 29   8.1   0.0   8.1  -7.78    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1    8.1
   9  1  1  8   0.8   82  3.264  4.0 30  64.0   0.0  64.0  -7.78   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0   64.0
  10  1  1  9   0.8   83  3.303  4.0 30 111.6   0.0 111.6  -7.78  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6  111.6
  11  1  1 10   1.0   81  3.269  4.0 29 141.9  23.7 118.1  -7.54  141.9  118.1  118.1  146.9  176.8  184.3  165.2  130.5  118.1  118.1  118.1  146.5  188.8  199.5  172.4  123.3  118.1  118.1  118.1  144.2  196.0  209.0  175.8  118.1  118.1  118.1  118.1  134.6  194.3  209.4  171.1  118.1  118.1
  12  1  1 11   1.1   80  3.252  4.0 29 144.2  22.7 121.5  -7.42  144.2  121.5  121.5  138.1  169.2  183.8  173.5  144.2  121.5  121.5  121.5  133.3  177.2  197.9  183.2  141.9  121.5  121.5  121.5  127.6  181.4  206.7  188.8  138.1  121.5  121.5  121.5  121.5  177.5  206.8  186.1  127.6  121.5
