iso 125300 PL Opole 50.6666667 N 17.9500000 E  163 1 365 4
   N  M  D  H   DBT   RH     HR   WS WD   ITH   IDH   ISH   TSKY   N__0  N__30  NE_30  E__30  SE_30  S__30  SW_30  W__30  NW_30  N__45  NE_45  E__45  SE_45  S__45  SW_45  W__45  NW_45  N__60  NE_60  E__60  SE_60  S__60  SW_60  W__60  NW_60  N__90  NE_90  E__90  SE_90  S__90  SW_90  W__90  NW_90
   1  1  1  0  -8.7   92  1.841  0.0  0   0.0   0.0   0.0 -17.04    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   2  1  1  1  -8.9   91  1.793  0.0  0   0.0   0.0   0.0 -17.28    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   3  1  1  2  -9.2   91  1.751  1.0  7   0.0   0.0   0.0 -17.65    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   4  1  1  3  -9.4   91  1.724  2.0 10   0.0   0.0   0.0 -17.89    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   5  1  1  4  -9.3   91  1.738  1.0  7   0.0   0.0   0.0 -17.77    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   6  1  1  5  -9.3   91  1.738  0.0  0   0.0   0.0   0.0 -17.77    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   7  1  1  6  -9.2   92  1.771  0.0  0   0.0   0.0   0.0 -17.65    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   8  1  1  7  -9.0   92  1.799  0.0  0   1.2   0.0   1.2 -17.41    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2    1.2
   9  1  1  8  -8.7   92  1.842  0.0  0  26.7   0.0  26.7 -17.04   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7
  10  1  1  9  -8.5   92  1.872  1.0  1  48.8   0.0  48.8 -16.80   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8
